time,Q_ablass,Q_outpump,Q_pump,outflow_level,storage_level
2013-05-19 22:00:00,1.000000,6.000000,10.000000,0.200000,0.300000
2013-05-19 23:00:00,0.000000,5.722126,9.999542,0.215399,0.285602
2013-05-20 00:00:00,0.000000,5.511008,9.999543,0.231557,0.274803
2013-05-20 01:00:00,0.000000,5.354630,9.999543,0.248279,0.267605
2013-05-20 02:00:00,0.000000,5.242299,9.999543,0.265405,0.264007
2013-05-20 03:00:00,0.000000,5.164540,9.999542,0.282811,0.264008
2013-05-20 04:00:00,0.000000,5.113475,9.999542,0.300401,0.267610
2013-05-20 05:00:00,0.000000,5.082949,9.999542,0.318101,0.274812
2013-05-20 06:00:00,0.000000,5.068533,9.999542,0.335852,0.285613
2013-05-20 07:00:00,0.000000,5.068029,9.999542,0.353606,0.300015
2013-05-20 08:00:00,0.000000,5.081657,9.999542,0.371310,0.318016
2013-05-20 09:00:00,0.000000,5.112563,9.999542,0.388903,0.332418
2013-05-20 10:00:00,0.000000,5.167353,9.999542,0.406299,0.343220
2013-05-20 11:00:00,0.000000,5.257445,9.999542,0.423371,0.350421
2013-05-20 12:00:00,0.000000,5.400515,9.999542,0.439927,0.354023
2013-05-20 13:00:00,0.000000,5.621391,9.999542,0.455689,0.354025
2013-05-20 14:00:00,0.000000,5.953498,9.999541,0.470254,0.350426
2013-05-20 15:00:00,0.000000,6.437287,9.999541,0.483079,0.346828
2013-05-20 16:00:00,0.000000,7.124429,9.999541,0.493429,0.343230
2013-05-20 17:00:00,0.000000,8.174236,9.999541,0.500000,0.339631
2013-05-20 18:00:00,0.000000,9.999541,9.999541,0.500000,0.336033
