time,Q_in,Q_release,V_max,V_min,storage_V
2013-01-01 00:00:00,1.500000,0.000000,401574.854728,382552.000845,400000.000000
2013-01-02 00:00:00,1.950000,2.042289,401574.854728,382552.000845,392026.223679
2013-01-03 00:00:00,2.550000,2.549988,401574.854728,382552.000845,392027.224242
2013-01-04 00:00:00,3.300000,3.299868,401574.854728,382552.000845,392038.604165
2013-01-05 00:00:00,4.350000,4.134203,440388.075647,382552.000845,410683.506560
2013-01-06 00:00:00,5.550000,5.552984,440388.075647,382552.000845,410425.647899
2013-01-07 00:00:00,7.200000,7.181283,440388.075647,382552.000845,412042.786722
2013-01-08 00:00:00,5.550000,5.554003,440388.075647,382552.000845,411696.950046
2013-01-09 00:00:00,4.350000,4.351165,440388.075647,382552.000845,411596.328336
2013-01-10 00:00:00,3.300000,3.525084,401574.854728,382552.000845,392149.045817
2013-01-11 00:00:00,2.550000,2.549795,401574.854728,382552.000845,392166.791125
2013-01-12 00:00:00,1.950000,1.841020,401574.854728,382552.000845,401582.701053
