time,Q_orifice,drainage_level,main_channel_level,storage_level
2013-05-19 22:00:00,0.000000,0.100000,0.200000,0.300000
2013-05-19 23:00:00,6.849803,0.121059,0.203600,0.286141
2013-05-20 00:00:00,6.848628,0.142114,0.207200,0.275886
2013-05-20 01:00:00,6.847998,0.163167,0.210800,0.269233
2013-05-20 02:00:00,6.847785,0.184219,0.214400,0.266181
2013-05-20 03:00:00,6.847862,0.205271,0.218000,0.266729
2013-05-20 04:00:00,6.848100,0.226325,0.221600,0.270875
2013-05-20 05:00:00,6.848386,0.247379,0.225200,0.278621
2013-05-20 06:00:00,6.848628,0.268434,0.228800,0.289966
2013-05-20 07:00:00,6.848762,0.289489,0.232400,0.304911
2013-05-20 08:00:00,6.848728,0.310545,0.236000,0.323455
2013-05-20 09:00:00,6.848435,0.331599,0.239600,0.338401
2013-05-20 10:00:00,6.847900,0.352652,0.243200,0.349748
2013-05-20 11:00:00,6.847139,0.373701,0.246800,0.357499
2013-05-20 12:00:00,6.846226,0.394748,0.250400,0.361652
2013-05-20 13:00:00,6.845355,0.415791,0.254000,0.362209
2013-05-20 14:00:00,6.844880,0.436833,0.257600,0.359167
2013-05-20 15:00:00,6.845317,0.457876,0.261200,0.352524
2013-05-20 16:00:00,6.847466,0.478927,0.264800,0.342273
2013-05-20 17:00:00,6.853716,0.500000,0.268400,0.328400
2013-05-20 18:00:00,1.000000,0.500000,0.272000,0.332000
